-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 12/31/2022 
Location: Latitude  -54.8107   Longitude -68.3147 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 268.93 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE              MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX               MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN               MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE             MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WD2M                   MERRA-2 Wind Direction at 2 Meters (Degrees) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WD2M
2021,156,10.32,15.34,-2.24,-2.99,-2.62,-3.43,4.53,0.04,-4.49,3.17,96.81,0.41,97.05,1.85,2.37,1.45,0.92,257.06
2021,157,4.03,15.07,0.16,-0.38,-0.11,0.68,4.21,1.35,-2.85,3.85,96.5,2.69,96.11,4.42,5.67,2.22,3.46,261.56
2021,158,7.1,15.21,0.8,0.48,0.64,1.15,2.23,1.35,-0.88,4.15,97.75,0.19,95.77,3.82,6.93,2.12,4.8,248.94
2021,159,6.43,14.71,2.14,1.73,1.93,2.04,2.11,3.14,1.02,4.58,97.06,2.75,93.94,5.03,8.05,2.05,6.0,213.0
2021,160,7.23,14.34,2.46,1.66,2.06,2.14,1.53,3.3,1.77,4.52,94.5,0.31,94.88,5.48,7.27,3.81,3.46,310.75
2021,161,7.28,14.3,0.82,-0.55,0.14,1.12,2.35,2.18,-0.17,3.78,90.62,0.76,96.66,4.03,6.42,1.78,4.64,185.19
2021,162,7.74,14.31,1.19,0.84,1.01,1.6,3.17,2.8,-0.38,4.21,97.56,2.35,95.74,3.52,4.89,1.97,2.92,204.94
2021,163,8.89,14.02,0.81,0.14,0.48,0.53,3.32,2.29,-1.03,4.03,95.5,2.22,95.46,2.68,4.88,1.69,3.2,262.69
2021,164,5.28,14.0,1.16,0.37,0.76,1.05,3.47,2.66,-0.81,4.03,94.62,0.9,97.09,3.99,5.03,2.09,2.95,255.44
2021,165,9.41,13.77,0.72,-0.32,0.2,0.82,3.08,2.31,-0.77,3.78,92.94,1.18,98.33,4.48,6.86,2.34,4.52,245.25
2021,166,5.77,13.91,0.08,-0.45,-0.18,-0.35,3.45,2.0,-1.45,3.72,95.62,0.59,99.07,2.58,3.62,1.73,1.91,300.38
2021,167,9.81,13.93,-0.04,0.01,-0.02,-0.53,3.01,1.63,-1.38,3.85,98.88,0.08,99.12,2.64,3.09,2.02,1.06,309.44
2021,168,6.34,13.85,0.65,0.41,0.53,0.72,3.16,2.16,-1.0,4.03,98.19,0.07,98.41,2.71,3.42,2.25,1.17,317.5
2021,169,7.98,13.78,2.07,1.86,1.96,2.19,1.47,3.03,1.56,4.46,98.44,1.03,97.59,4.07,4.69,3.5,1.19,326.88
2021,170,6.61,13.57,1.11,0.55,0.83,1.23,2.74,2.31,-0.44,4.09,96.12,1.29,96.98,3.84,5.13,2.35,2.78,302.75
2021,171,6.73,13.62,0.62,0.21,0.42,0.87,3.85,2.17,-1.68,4.03,97.06,0.1,96.85,5.6,8.23,1.86,6.37,288.5
2021,172,5.95,13.47,2.19,0.94,1.57,1.47,3.03,3.41,0.38,4.27,91.62,0.45,96.18,4.41,8.61,1.91,6.7,219.75
2021,173,8.54,13.52,-0.64,-1.25,-0.95,-0.74,4.12,1.6,-2.53,3.6,95.25,0.3,97.0,3.49,5.43,1.79,3.64,330.69
2021,174,11.59,13.54,-0.13,-1.1,-0.62,-0.79,2.28,0.82,-1.47,3.6,93.56,0.22,96.9,1.89,4.58,0.59,3.99,144.06
2021,175,5.61,13.63,1.69,1.28,1.49,1.95,1.28,2.22,0.94,4.39,97.0,1.33,95.49,4.83,7.68,0.94,6.74,71.44
2021,176,8.44,13.56,1.92,1.46,1.69,2.01,2.91,3.47,0.56,4.39,96.38,2.57,96.61,5.23,7.98,2.05,5.92,222.06
2021,177,8.05,13.87,1.51,0.6,1.05,1.49,2.13,2.72,0.59,4.03,93.75,0.13,98.53,3.8,5.69,2.13,3.55,291.38
2021,178,5.73,13.87,3.01,2.02,2.51,2.76,2.92,5.0,2.07,4.52,93.25,1.4,97.92,5.37,6.59,3.27,3.31,322.75
2021,179,11.12,14.12,1.91,1.08,1.49,1.62,3.48,3.83,0.36,4.21,94.06,0.07,98.27,3.22,5.24,1.7,3.55,298.94
2021,180,6.05,13.62,2.26,1.74,2.01,2.48,2.97,3.55,0.58,4.46,96.25,2.19,97.55,5.77,7.47,2.73,4.73,209.0
2021,181,11.62,14.51,1.51,1.15,1.33,1.44,4.6,4.19,-0.41,4.33,97.0,2.03,96.32,2.65,5.13,1.7,3.44,313.12
2021,182,8.16,14.47,-0.07,-1.36,-0.71,0.58,2.54,1.36,-1.18,3.6,91.38,0.21,95.29,5.67,8.22,4.25,3.97,317.75
2021,183,8.45,14.36,1.28,-0.31,0.48,1.51,4.69,3.09,-1.6,3.97,89.31,1.64,93.96,6.98,8.46,4.57,3.89,251.81
2021,184,4.86,14.76,2.72,0.57,1.64,2.41,1.16,3.19,2.03,4.21,85.75,0.68,94.17,8.26,9.66,6.3,3.35,296.94
2021,185,11.35,14.7,2.23,0.55,1.39,2.15,2.41,3.47,1.05,4.15,88.75,0.91,96.04,6.69,8.35,3.43,4.92,274.06
2021,186,6.8,14.98,2.79,2.26,2.53,2.29,3.62,4.37,0.75,4.7,95.81,0.84,95.88,4.23,8.7,1.31,7.4,299.5
2021,187,13.88,15.25,0.16,-1.13,-0.49,0.55,3.3,1.86,-1.44,3.6,91.25,0.55,97.12,3.72,7.84,0.55,7.3,157.38
2021,188,2.73,15.4,0.85,0.12,0.49,1.34,1.85,1.65,-0.2,4.03,94.88,4.02,95.91,7.33,10.16,3.12,7.04,115.44
2021,189,3.96,15.64,0.64,0.12,0.38,0.91,3.72,2.43,-1.29,4.03,96.12,0.04,95.66,5.36,7.95,2.12,5.82,227.62
2021,190,4.5,15.85,-0.56,-1.35,-0.95,-0.95,3.17,0.93,-2.24,3.6,95.06,0.03,95.62,1.41,2.85,0.41,2.45,246.06
2021,191,8.57,16.38,0.51,-1.18,-0.33,0.81,4.23,2.19,-2.04,3.72,88.44,1.74,94.58,6.51,8.34,3.23,5.11,304.56
2021,192,4.01,16.16,-0.33,-2.31,-1.31,0.23,1.2,0.16,-1.04,3.42,86.62,1.85,94.39,6.7,8.34,4.33,4.01,284.69
2021,193,3.62,16.48,0.23,-1.74,-0.75,0.77,0.87,0.74,-0.13,3.54,86.5,7.43,95.36,8.48,9.56,7.6,1.96,260.75
2021,194,12.06,16.91,-1.32,-3.05,-2.18,-1.54,2.42,0.03,-2.38,3.11,88.75,1.7,97.53,2.57,6.88,0.55,6.32,230.94
2021,195,7.79,17.34,-2.47,-4.69,-3.58,-2.39,2.18,-1.23,-3.41,2.75,85.75,0.69,97.75,1.3,2.3,0.27,2.03,170.44
2021,196,8.03,17.91,-1.85,-3.27,-2.56,-1.07,3.19,-0.53,-3.72,3.05,91.19,3.66,97.38,3.41,4.98,1.41,3.56,76.25
2021,197,10.84,17.96,-1.46,-2.59,-2.02,-2.01,4.3,0.87,-3.43,3.23,93.25,0.76,97.76,1.77,3.7,0.67,3.03,166.31
2021,198,8.3,18.38,-1.58,-2.2,-1.89,-1.12,3.7,0.07,-3.63,3.3,96.69,0.24,98.36,3.58,7.84,1.73,6.12,315.19
2021,199,2.22,18.86,1.7,0.63,1.17,1.7,2.8,2.75,-0.06,4.15,92.62,3.25,96.11,8.37,9.67,7.12,2.55,208.06
2021,200,12.16,19.32,1.53,0.61,1.07,0.64,3.26,3.08,-0.19,4.15,93.69,1.15,95.77,3.61,7.16,0.95,6.22,297.69
2021,201,11.38,19.5,-1.34,-2.83,-2.09,-1.03,2.97,0.14,-2.83,3.17,90.62,2.12,96.95,3.2,4.48,1.14,3.34,211.06
2021,202,8.1,20.18,-2.63,-3.63,-3.13,-2.4,6.32,0.44,-5.88,2.99,94.56,1.11,97.2,3.54,6.05,1.63,4.42,135.56
2021,203,10.77,20.78,0.66,0.36,0.51,0.95,2.2,1.65,-0.55,4.09,97.94,3.46,95.97,3.62,4.62,2.74,1.89,325.94
2021,204,9.47,21.15,0.31,-0.65,-0.17,0.11,3.79,2.11,-1.68,3.78,93.81,0.18,96.1,4.02,5.39,2.8,2.59,289.69
2021,205,11.93,21.36,-0.01,-0.5,-0.26,-0.42,3.66,1.9,-1.74,3.78,97.06,0.27,96.75,2.87,4.42,2.12,2.3,315.06
2021,206,10.28,21.63,-0.67,-1.63,-1.15,-0.45,3.78,1.3,-2.49,3.48,93.94,1.72,97.22,3.92,5.73,2.01,3.73,255.31
2021,207,12.06,22.09,-1.59,-3.38,-2.49,-1.95,3.16,0.3,-2.85,2.99,88.69,2.18,98.49,1.92,3.03,0.74,2.29,250.75
2021,208,4.1,22.98,0.3,-0.23,0.03,0.29,6.37,3.65,-2.71,3.85,97.0,8.32,98.7,3.74,5.45,2.34,3.1,324.06
2021,209,10.5,24.13,2.82,2.44,2.62,2.23,1.93,4.15,2.21,4.64,97.31,2.05,97.94,3.77,5.25,1.95,3.3,300.5
2021,210,17.15,24.55,2.15,0.8,1.48,2.01,3.21,3.76,0.55,4.21,90.81,1.21,95.72,7.41,8.99,5.22,3.77,321.31
2021,211,13.66,24.76,0.61,-1.54,-0.46,0.73,1.88,1.7,-0.19,3.54,85.5,1.17,96.18,6.73,8.87,5.22,3.65,275.69
2021,212,9.16,25.37,2.65,0.86,1.76,2.36,3.33,4.24,0.91,4.21,88.0,1.49,96.75,8.48,11.62,6.28,5.35,289.94
2021,213,18.59,26.59,2.87,1.36,2.12,2.33,2.8,4.21,1.4,4.39,89.69,0.1,95.94,6.18,9.54,3.77,5.77,306.94
2021,214,10.72,26.66,2.17,-0.0,1.08,1.96,2.92,3.42,0.51,3.97,85.5,1.58,96.04,7.92,11.91,5.16,6.74,294.0
2021,215,15.7,27.41,1.92,-0.08,0.92,1.9,3.04,3.6,0.56,3.91,86.69,2.2,97.11,6.87,9.35,3.16,6.2,265.0
2021,216,17.0,28.23,4.98,3.93,4.46,4.15,7.05,8.35,1.3,5.31,92.88,1.78,95.86,7.34,10.36,3.15,7.21,301.38
2021,217,12.69,29.29,3.17,1.83,2.51,3.14,8.34,7.76,-0.57,4.64,91.25,0.76,94.32,6.56,13.43,2.41,11.02,292.75
2021,218,12.48,29.42,0.01,-2.58,-1.28,0.62,2.74,1.56,-1.18,3.3,82.81,1.88,94.7,8.21,10.3,4.41,5.9,298.38
2021,219,9.92,29.77,-0.49,-3.38,-1.93,0.28,1.73,0.26,-1.47,3.11,80.69,3.9,95.63,10.05,10.97,8.52,2.45,249.12
2021,220,16.3,30.44,2.29,0.29,1.29,2.16,3.99,3.77,-0.23,4.03,86.56,1.34,97.61,7.66,8.99,6.54,2.45,270.25
2021,221,19.52,32.3,3.33,0.88,2.11,2.95,6.02,5.37,-0.65,4.21,83.88,0.33,97.02,9.06,10.12,7.46,2.66,285.31
2021,222,21.74,33.09,0.43,-3.17,-1.37,0.92,1.84,1.38,-0.45,3.05,76.56,0.44,98.18,9.12,10.44,7.22,3.22,251.19
2021,223,13.61,33.86,2.56,0.81,1.69,2.44,4.66,4.87,0.21,4.21,88.19,3.95,97.06,7.54,9.37,5.96,3.41,278.81
2021,224,18.08,34.73,4.81,2.51,3.66,4.23,6.35,7.06,0.71,4.76,85.06,0.84,95.76,10.63,14.07,6.12,7.94,272.19
2021,225,14.55,35.74,-0.13,-2.33,-1.23,0.61,2.32,1.01,-1.31,3.3,85.12,2.16,96.77,4.35,5.66,3.59,2.07,235.5
2021,226,26.34,36.85,-0.63,-3.7,-2.17,0.25,2.68,1.0,-1.68,2.93,79.94,0.75,97.85,2.38,4.05,1.18,2.88,293.06
2021,227,20.79,37.11,2.42,1.84,2.13,2.01,5.37,4.96,-0.41,4.52,95.88,0.84,96.52,3.22,5.23,1.38,3.84,325.31
2021,228,20.34,37.76,1.09,0.76,0.93,1.48,3.55,3.12,-0.42,4.21,97.44,5.84,95.52,2.62,4.67,1.21,3.46,139.5
2021,229,19.05,38.69,-0.97,-2.77,-1.88,0.16,1.34,-0.45,-1.78,3.23,88.0,3.67,95.92,4.61,5.74,3.02,2.73,94.75
2021,230,17.23,39.39,-1.35,-2.73,-2.04,-0.36,4.09,0.25,-3.84,3.23,91.12,7.19,96.28,4.48,5.99,2.95,3.04,132.44
2021,231,25.09,39.84,-3.77,-6.07,-4.92,-2.45,3.57,-1.84,-5.42,2.44,85.62,1.54,97.24,5.99,8.3,3.92,4.38,204.88
2021,232,27.12,40.91,-2.22,-3.97,-3.1,-1.53,4.59,-0.13,-4.72,2.87,89.12,1.1,98.02,4.51,6.37,2.64,3.72,229.25
2021,233,34.18,42.01,-3.1,-4.55,-3.82,-2.85,5.98,-0.3,-6.27,2.75,91.69,0.29,98.25,2.15,2.62,1.37,1.26,296.38
2021,234,22.92,42.93,-1.96,-2.88,-2.42,-1.55,7.1,1.15,-5.95,3.17,94.81,0.5,98.02,2.84,3.91,2.11,1.79,335.25
2021,235,23.92,44.12,-0.4,-1.56,-0.98,0.05,4.26,1.87,-2.38,3.48,92.69,0.33,97.06,4.47,7.58,2.79,4.79,339.81
2021,236,31.8,45.21,-1.5,-3.38,-2.44,-2.25,6.7,1.37,-5.33,3.05,88.44,0.15,96.58,2.53,5.91,1.48,4.44,298.69
2021,237,32.42,46.32,-3.31,-4.73,-4.02,-3.21,6.02,0.11,-5.92,2.75,91.62,0.18,96.61,2.2,3.7,1.36,2.34,336.06
2021,238,44.84,47.41,-1.56,-2.89,-2.23,-2.19,6.73,1.87,-4.87,3.17,92.12,0.21,97.28,1.82,2.37,1.52,0.84,268.12
2021,239,23.38,48.58,-1.02,-2.06,-1.54,-0.59,6.23,1.61,-4.62,3.42,93.56,1.12,96.81,5.83,8.38,1.69,6.69,136.62
2021,240,26.33,49.91,0.92,-0.24,0.34,0.86,4.49,3.59,-0.9,3.91,92.19,0.85,96.35,4.3,7.3,2.51,4.79,273.62
2021,241,31.67,50.7,0.51,-1.26,-0.38,0.48,4.41,2.82,-1.6,3.6,88.31,0.4,97.25,4.44,5.49,2.59,2.91,292.0
2021,242,31.29,51.75,0.01,-1.76,-0.88,0.22,6.59,2.58,-4.01,3.48,88.5,0.08,97.05,5.77,8.72,2.29,6.43,327.0
2021,243,26.02,53.09,-0.16,-2.31,-1.23,0.12,5.35,2.2,-3.15,3.36,85.94,0.8,97.04,4.76,8.51,2.15,6.36,274.5
2021,244,38.89,53.38,0.96,-1.2,-0.12,0.98,7.38,4.33,-3.06,3.6,85.75,0.05,98.1,6.12,7.86,4.42,3.43,285.31
2021,245,38.48,55.13,1.47,-0.23,0.62,1.53,6.17,4.58,-1.59,3.85,88.88,0.01,97.72,5.23,6.38,3.28,3.1,314.81
2021,246,29.62,56.71,3.22,2.53,2.87,2.49,4.84,6.08,1.23,4.7,95.12,0.12,97.23,3.39,4.91,1.98,2.94,319.75
2021,247,32.86,56.97,3.22,2.4,2.8,2.92,4.86,6.54,1.68,4.64,94.31,0.9,97.36,3.83,6.08,1.45,4.62,315.0
2021,248,46.38,57.59,3.57,2.95,3.26,3.15,6.47,7.61,1.14,4.82,94.56,0.13,97.79,2.8,4.15,1.59,2.55,323.0
2021,249,36.12,58.96,3.24,1.92,2.58,3.14,5.94,6.53,0.58,4.46,90.81,0.36,98.11,2.97,5.16,1.32,3.84,298.44
2021,250,40.34,60.62,4.6,2.63,3.62,4.32,8.34,9.15,0.8,4.7,87.38,0.07,98.09,4.79,6.91,1.96,4.95,345.94
2021,251,20.66,63.22,5.15,3.76,4.45,3.96,6.62,8.77,2.14,5.19,90.75,0.27,97.3,4.01,7.15,0.91,6.24,317.62
2021,252,43.72,64.06,3.07,1.53,2.3,2.92,6.38,6.51,0.13,4.39,89.25,0.05,97.29,4.63,6.63,1.42,5.21,338.94
2021,253,33.88,65.81,2.57,0.55,1.56,2.7,5.34,5.48,0.15,4.15,86.94,0.32,96.09,5.54,7.44,3.73,3.7,323.69
2021,254,38.88,66.6,1.76,-0.89,0.43,2.05,5.38,5.05,-0.32,3.72,83.25,0.07,95.8,5.12,6.27,3.98,2.27,277.5
2021,255,36.62,68.23,1.19,0.4,0.79,1.8,3.42,2.95,-0.47,4.15,94.44,0.57,94.99,4.31,6.55,0.91,5.62,154.38
2021,256,38.12,69.67,2.08,-0.5,0.8,2.33,4.28,3.82,-0.47,3.85,83.06,1.23,95.13,7.87,11.59,4.91,6.67,276.44
2021,257,38.63,70.67,1.23,-2.63,-0.7,1.74,4.11,3.36,-0.75,3.3,75.69,1.84,95.25,9.01,11.47,6.3,5.17,281.88
2021,258,26.05,70.95,-0.92,-4.35,-2.64,0.17,1.17,-0.42,-1.6,2.87,77.62,3.82,96.2,8.43,10.55,6.19,4.37,249.75
2021,259,35.29,73.34,0.3,-3.08,-1.38,1.08,3.98,2.74,-1.24,3.11,78.56,0.86,97.19,2.46,5.67,0.52,5.15,174.38
2021,260,45.15,74.59,0.6,-2.56,-0.98,1.25,5.3,3.43,-1.87,3.23,79.75,0.35,97.67,1.21,1.67,0.7,0.97,88.88
2021,261,49.88,75.44,1.79,0.05,0.92,2.05,6.87,5.96,-0.91,3.91,88.62,0.07,98.06,2.57,3.8,1.51,2.29,302.56
2021,262,35.38,76.88,2.44,1.25,1.84,2.69,4.23,4.93,0.7,4.27,92.0,2.18,97.45,5.57,6.72,3.9,2.81,309.31
2021,263,32.12,79.05,3.48,2.04,2.76,3.49,7.41,7.28,-0.13,4.58,90.25,2.89,97.53,4.68,6.62,2.05,4.57,313.56
2021,264,49.01,80.62,6.29,4.4,5.34,5.58,6.8,9.66,2.86,5.37,87.94,0.19,97.46,3.8,6.3,1.2,5.09,266.75
2021,265,38.12,81.6,5.08,3.33,4.2,4.6,7.61,9.13,1.52,5.07,88.88,2.91,96.39,4.59,6.9,2.64,4.26,204.44
2021,266,57.5,83.04,3.75,0.89,2.32,3.77,5.56,6.65,1.09,4.21,82.19,0.27,96.65,5.89,7.98,4.2,3.78,292.69
2021,267,43.72,85.05,4.29,2.51,3.4,4.32,6.8,7.37,0.57,4.82,88.62,1.46,95.51,4.46,7.87,1.88,5.99,256.19
2021,268,66.48,85.91,1.51,-1.28,0.12,1.96,5.55,4.43,-1.13,3.6,82.81,0.33,96.75,3.31,5.01,2.27,2.73,268.75
2021,269,61.37,86.25,2.29,-0.82,0.73,2.61,7.02,5.9,-1.11,3.72,81.44,0.05,97.31,3.44,4.94,2.23,2.7,299.06
2021,270,59.23,89.98,3.85,0.99,2.42,3.73,8.12,7.74,-0.38,4.27,82.44,0.24,96.71,4.83,7.15,3.27,3.88,295.62
2021,271,45.28,89.47,3.33,0.15,1.73,3.34,6.96,6.61,-0.35,4.03,79.81,1.07,96.22,7.01,9.43,4.09,5.34,305.44
2021,272,24.15,92.52,4.57,1.8,3.19,4.23,5.45,6.51,1.05,4.58,82.25,0.28,95.42,6.02,9.59,1.86,7.73,308.94
2021,273,71.26,93.0,2.28,-0.97,0.65,2.8,5.34,4.98,-0.36,3.72,80.12,0.13,96.04,3.81,5.06,1.99,3.07,296.25
2021,274,56.54,94.86,1.76,-0.85,0.46,2.4,5.75,4.23,-1.52,3.72,83.62,0.78,96.28,4.08,5.05,2.54,2.52,279.69
2021,275,51.05,96.73,2.01,-0.39,0.8,2.52,7.96,6.18,-1.78,3.85,84.69,0.69,96.64,4.26,6.47,2.36,4.11,292.88
2021,276,51.73,97.79,2.83,0.64,1.73,3.0,6.02,6.45,0.44,4.15,85.94,1.43,95.94,6.66,9.75,2.46,7.28,300.25
2021,277,65.38,98.26,1.81,-1.15,0.33,2.65,3.1,3.65,0.55,3.6,80.81,1.38,96.67,8.42,9.85,7.24,2.6,241.06
2021,278,84.78,99.01,2.34,-1.32,0.51,3.15,5.72,5.94,0.21,3.54,77.12,0.27,98.13,5.3,7.42,2.38,5.05,256.75
2021,279,59.68,101.77,3.73,1.47,2.6,4.07,6.2,7.38,1.17,4.39,85.44,2.54,97.02,6.1,8.55,4.48,4.05,286.25
2021,280,76.23,103.1,3.86,0.37,2.11,4.06,6.23,6.96,0.73,4.03,78.75,0.2,97.26,5.23,7.28,3.77,3.51,292.44
2021,281,68.63,104.96,3.9,0.83,2.37,4.25,5.88,6.6,0.73,4.21,80.81,1.5,96.25,7.65,10.2,2.91,7.3,285.75
2021,282,44.16,106.9,4.62,2.26,3.44,4.87,8.3,9.11,0.81,4.7,84.81,1.0,96.14,7.29,11.14,2.88,8.26,311.31
2021,283,70.28,107.82,4.38,0.61,2.49,4.74,7.7,8.11,0.41,4.15,77.38,0.44,96.49,6.8,9.3,4.6,4.7,304.94
2021,284,62.93,110.54,6.01,2.71,4.36,5.69,6.62,9.23,2.61,4.76,80.19,0.36,96.63,6.3,8.67,3.75,4.91,308.38
2021,285,41.96,110.76,6.64,3.73,5.18,6.4,8.32,11.18,2.86,5.19,82.81,0.12,96.26,6.38,9.21,3.6,5.61,339.19
2021,286,73.8,112.69,5.23,1.84,3.54,5.44,7.84,8.55,0.7,4.58,79.38,0.86,95.22,5.37,7.37,2.14,5.22,307.5
2021,287,84.23,113.46,2.81,-1.06,0.87,3.62,6.89,5.8,-1.1,3.66,76.62,0.2,96.0,4.95,6.53,2.7,3.84,283.44
2021,288,50.46,114.66,4.83,1.32,3.08,4.99,5.98,7.27,1.29,4.39,78.25,2.13,94.83,7.2,12.41,4.61,7.8,299.44
2021,289,52.76,116.38,0.11,-4.08,-1.99,1.4,2.88,1.68,-1.21,2.93,73.62,2.32,96.22,9.68,13.11,3.9,9.21,246.0
2021,290,44.27,116.8,4.16,1.87,3.01,4.34,9.01,7.95,-1.06,4.58,85.25,2.2,96.7,6.04,8.26,2.82,5.43,296.94
2021,291,91.59,119.62,5.24,1.6,3.42,5.47,5.94,7.93,1.99,4.46,78.0,0.23,96.61,7.05,8.93,3.39,5.54,270.38
2021,292,69.87,120.81,6.65,4.5,5.58,6.54,10.18,11.91,1.73,5.55,86.31,1.16,96.73,5.27,8.39,2.4,5.99,324.94
2021,293,74.29,122.89,6.7,2.33,4.51,6.44,5.02,8.88,3.86,4.7,74.56,0.11,96.4,5.08,6.77,3.29,3.48,301.88
2021,294,79.98,123.2,3.94,0.51,2.23,4.55,4.75,6.01,1.26,4.09,79.06,0.51,97.0,6.33,8.46,4.02,4.45,279.25
2021,295,47.55,124.76,3.76,0.99,2.37,4.09,5.84,6.76,0.93,4.27,82.12,3.85,95.43,7.67,11.43,4.53,6.9,303.31
2021,296,70.05,125.8,1.98,-1.95,0.01,2.93,4.21,4.44,0.23,3.48,75.38,1.87,94.9,8.91,11.81,5.23,6.57,263.44
2021,297,58.16,128.75,1.95,-1.58,0.19,2.77,6.05,5.63,-0.42,3.66,77.81,2.29,93.66,8.02,12.36,3.34,9.02,289.5
2021,298,71.53,129.88,0.77,-2.67,-0.95,1.85,4.25,3.12,-1.13,3.3,78.25,2.86,94.82,6.9,10.09,2.23,7.88,256.0
2021,299,71.41,131.03,3.3,0.66,1.98,3.77,7.57,7.78,0.21,4.21,83.31,1.88,94.87,5.91,9.16,3.23,5.92,229.25
2021,300,83.62,131.61,5.05,1.52,3.29,5.18,7.95,9.23,1.28,4.46,78.75,0.07,96.05,6.22,9.7,3.67,6.03,306.25
2021,301,97.65,132.13,7.18,3.86,5.51,7.23,9.64,11.34,1.7,5.19,80.19,0.04,96.79,4.64,6.23,2.91,3.32,320.12
2021,302,94.95,133.23,5.15,1.71,3.43,5.65,7.16,7.33,0.17,4.52,79.25,0.19,97.23,5.23,8.09,2.07,6.02,260.88
2021,303,115.2,133.48,4.69,0.42,2.55,5.29,10.02,9.51,-0.51,3.97,75.12,0.01,99.01,4.38,6.12,2.81,3.3,280.88
2021,304,125.32,135.04,6.74,1.85,4.3,6.95,12.25,12.54,0.3,4.46,73.25,0.0,98.75,2.74,3.88,0.68,3.19,262.0
2021,305,98.73,132.61,7.62,4.05,5.83,8.12,10.74,12.9,2.15,5.25,79.69,0.0,97.55,3.47,5.41,1.0,4.41,315.56
2021,306,80.03,136.22,9.26,5.87,7.57,8.99,10.07,13.94,3.87,5.98,80.62,0.11,96.73,2.82,3.5,1.8,1.69,327.69
2021,307,90.54,139.98,7.21,4.31,5.76,7.52,11.27,11.88,0.62,5.49,82.56,0.86,96.25,3.48,5.6,2.29,3.31,249.25
2021,308,81.7,141.84,4.51,0.58,2.55,5.22,9.16,8.97,-0.19,4.15,76.38,1.19,96.41,6.1,8.73,2.3,6.44,284.19
2021,309,78.98,142.16,6.25,2.12,4.18,6.49,8.19,10.19,2.01,4.58,75.31,0.81,97.24,7.62,9.02,5.33,3.69,294.0
2021,310,61.36,143.91,6.39,3.56,4.98,6.78,4.59,8.6,4.0,5.07,82.69,5.32,97.18,3.27,6.23,0.32,5.91,225.19
2021,311,88.23,143.77,4.74,2.1,3.42,5.93,4.15,7.09,2.94,4.58,83.75,2.67,97.55,2.94,4.76,1.58,3.18,211.94
2021,312,89.84,145.7,6.28,2.69,4.48,6.41,7.73,9.98,2.26,4.7,78.69,0.6,98.06,4.95,7.77,2.7,5.06,293.12
2021,313,126.27,146.27,9.19,4.34,6.76,8.65,12.15,15.98,3.83,5.37,73.56,7.93,96.94,4.58,7.24,1.2,6.05,286.12
2021,314,125.21,148.52,7.8,3.05,5.43,8.08,8.02,11.72,3.69,4.88,73.19,249.65,97.06,2.3,3.74,0.8,2.94,281.19
2021,315,99.2,150.45,7.73,3.69,5.71,7.93,7.98,11.32,3.33,5.07,76.19,0.36,97.79,4.74,6.59,2.7,3.89,316.06
2021,316,111.3,150.88,8.51,4.04,6.28,9.01,8.06,12.51,4.44,5.19,75.06,0.05,97.98,2.02,2.91,0.58,2.34,298.81
2021,317,108.3,152.02,8.07,4.08,6.08,8.3,8.12,11.59,3.47,5.25,77.06,0.45,96.88,2.78,5.23,0.41,4.83,282.12
2021,318,58.22,154.62,3.55,2.37,2.96,4.83,3.59,5.37,1.78,4.76,91.94,14.53,95.42,4.67,9.47,0.73,8.73,225.31
2021,319,95.96,155.6,3.65,-0.42,1.61,4.74,5.27,6.13,0.87,3.78,75.06,0.61,97.44,7.18,8.2,5.76,2.44,253.19
2021,320,52.67,156.97,5.48,2.26,3.87,5.87,5.26,9.04,3.78,4.64,79.81,2.83,96.48,7.91,10.67,5.01,5.66,306.25
